"filename", "language", "Markdown", "Ignore", "JSON", "JSON with Comments", "TypeScript", "HTML", "SCSS", "YAML", "C#", "XML", "XAML", "Docker", "comment", "blank", "total"
"c:\Users\Ahmed\projects\CodeQuiz\.dockerignore", "Ignore", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30
"c:\Users\Ahmed\projects\CodeQuiz\.github\workflows\deploy_backend.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 8, 16, 87
"c:\Users\Ahmed\projects\CodeQuiz\.github\workflows\deploy_website.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 12, 65
"c:\Users\Ahmed\projects\CodeQuiz\.github\workflows\test.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 22, 104
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend.Tests\Authentication\Controllers\AuthenticationControllerTests.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 9, 15, 104
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend.Tests\CodeQuizBackend.Tests.csproj", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 5, 28
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend.Tests\Execution\Services\CodeRunnerFactoryTests.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 10, 17, 86
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend.Tests\Execution\Services\EvaluatorTests.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 9, 18, 88
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend.Tests\Services\AttemptsServiceTests.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 145, 0, 0, 0, 6, 17, 168
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend.Tests\Services\JWTAuthenticationServiceTests.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 15, 27, 165
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend.Tests\Services\QuizzesServiceTests.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 157, 0, 0, 0, 9, 21, 187
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend.Tests\UnitTest1.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Authentication\Controllers\AuthenticationController.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 7, 88
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Authentication\Controllers\UsersController.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 1, 6, 54
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Authentication\Exceptions\AuthenticationException.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Authentication\Exceptions\EmailAlreadyRegisteredException.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Authentication\Exceptions\InvalidCredentialsException.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Authentication\Exceptions\InvalidTokenException.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Authentication\Exceptions\UsernameNotAvailableException.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Authentication\Exceptions\WeakPasswordException.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Authentication\Models\DTOs\UserDTO.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
