Date : 2026-02-21 01:52:58
Directory : c:\Users\Ahmed\projects\CodeQuiz
Total : 501 files,  48599 codes, 2746 comments, 7311 blanks, all 58656 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| C#                 |        267 |     21,166 |      1,974 |      4,586 |     27,726 |
| JSON               |          9 |      9,485 |          4 |          7 |      9,496 |
| Markdown           |         20 |      4,957 |          5 |      1,218 |      6,180 |
| XAML               |         26 |      3,913 |        301 |        401 |      4,615 |
| SCSS               |         24 |      3,494 |        242 |        635 |      4,371 |
| TypeScript         |         38 |      2,983 |        160 |        311 |      3,454 |
| HTML               |         10 |      1,929 |         33 |         56 |      2,018 |
| XML                |        101 |        404 |         17 |         44 |        465 |
| YAML               |          3 |        198 |          8 |         50 |        256 |
| JSON with Comments |          1 |         31 |          2 |          1 |         34 |
| Ignore             |          1 |         30 |          0 |          0 |         30 |
| Docker             |          1 |          9 |          0 |          2 |         11 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                       | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                          |        501 |     48,599 |      2,746 |      7,311 |     58,656 |
| . (Files)                                                                                                                                  |          2 |        100 |          0 |         32 |        132 |
| .github                                                                                                                                    |          3 |        198 |          8 |         50 |        256 |
| .github\workflows                                                                                                                          |          3 |        198 |          8 |         50 |        256 |
| CodeQuizBackend                                                                                                                            |        132 |     10,808 |        649 |      2,873 |     14,330 |
| CodeQuizBackend (Files)                                                                                                                    |          5 |        260 |         17 |         43 |        320 |
| CodeQuizBackend.Tests                                                                                                                      |          8 |        656 |         58 |        123 |        837 |
| CodeQuizBackend.Tests (Files)                                                                                                              |          2 |         31 |          0 |          8 |         39 |
| CodeQuizBackend.Tests\Authentication                                                                                                       |          1 |         80 |          9 |         15 |        104 |
| CodeQuizBackend.Tests\Authentication\Controllers                                                                                           |          1 |         80 |          9 |         15 |        104 |
